beta,dropout,epochs,pos_mse,pos_mae,rot_mse,rot_mae
0.2,0.3,4,0.557659914607332,0.572966746145097,0.122032552343508,0.236871677239122
0.2,0.3,8,0.581796050762052,0.600396358066154,0.158643264606067,0.270961847463661
0.2,0.3,12,0.297790036665546,0.409651185355398,0.112924585846477,0.23153511290258
0.2,0.6,4,0.840831995428784,0.761146656596766,0.145473153951801,0.277401694495411
0.2,0.6,8,0.45683043858465,0.527993983656115,0.103510546168022,0.216572022227664
0.2,0.6,12,0.220916319447027,0.31041193008828,0.081083953743766,0.158534560512804
0.5,0.3,4,0.440581183709291,0.483383359667685,0.097393902023617,0.202819827990877
0.5,0.3,8,0.322044773684736,0.44509604322079,0.066103050099792,0.135937656350475
0.5,0.3,12,0.238664200922155,0.381920647294205,0.07400703094338,0.187629819677774
0.5,0.6,4,0.672910676807923,0.541224777609733,0.340099702973528,0.461381776177697
0.5,0.6,8,0.473715817240703,0.517144326680614,0.100467411452636,0.221693423755009
0.5,0.6,12,0.508251227878748,0.523769599119034,0.087502709195724,0.235196807206362
0.8,0.3,4,1.20368704790518,0.858382689473651,0.111084842954978,0.215666241822757
0.8,0.3,8,0.637654640097681,0.63028986254076,0.182711566210619,0.266866032152618
0.8,0.3,12,0.383709227156922,0.445718914475568,0.062529557493265,0.148697726019062
0.8,0.6,4,3.07466207444815,1.40844566337147,0.166370032002408,0.265547558391319
0.8,0.6,8,1.15519407264845,0.720849781339528,0.094442349032447,0.214068911627114
0.8,0.6,12,0.586641306436332,0.57959622540111,0.091049252879416,0.156927626151148
,,,,,,
,,,,,,
,tempo,13’ 24’’,,,,
,,804,134,,,
