beta,dropout,epochs,pos_mse,pos_mae,rot_mse,rot_mae
0.2,0.3,1,11.2681872094901,2.99350763447112,0.664637940131379,0.680908491830441
0.2,0.3,2,1.42180256064713,0.968407292520641,0.320473534774362,0.450228351999911
0.2,0.3,3,1.64687649060012,1.03423358444045,0.179704663262155,0.309589071771476
0.2,0.3,4,0.934690893172284,0.683239803433713,0.163602633284777,0.293401818584508
0.2,0.3,5,0.635893930627736,0.553063743954211,0.122754396887885,0.22028134512925
0.2,0.6,1,1.49096720866945,0.966797268639624,0.481563085217231,0.55900197395062
0.2,0.6,2,1.32124496997879,0.872861270819807,0.436900398264534,0.541456850774985
0.2,0.6,3,0.629853043321985,0.605912290499021,0.215236324941597,0.367112169598041
0.2,0.6,4,2.33571765715087,1.18725581803364,0.27195293898028,0.384219279197547
0.2,0.6,5,0.390643980182517,0.444140587220149,0.081398953306171,0.195278860773032
0.5,0.3,1,6.0019562575249,1.89916598391541,0.247255164059048,0.342049061172532
0.5,0.3,2,1.19559755762258,0.820140097908931,0.174791279903584,0.361092497812281
0.5,0.3,3,1.16767873803524,0.801759569449636,0.223642444550881,0.361223818787757
0.5,0.3,4,0.551124362739447,0.566837235408209,0.391476644323507,0.529049120795794
0.5,0.3,5,0.982347812158309,0.714255349488216,0.159146696666574,0.303603253629365
0.5,0.6,1,1.25412135802532,0.840374015200624,0.695469055884391,0.638365337749099
0.5,0.6,2,2.00498856441662,1.21454462879746,0.3842303256716,0.51252494431605
0.5,0.6,3,0.721513080924631,0.589378713477143,0.133389129536435,0.242140258672339
0.5,0.6,4,0.534319417539599,0.544293304875636,0.223848816322016,0.344796061141183
0.5,0.6,5,0.502976886266032,0.526962685388886,0.06205283073747,0.158062442164783
0.8,0.3,1,1.89918605433303,1.03075174428518,0.897728445240118,0.744056351032357
0.8,0.3,2,1.43090725544626,0.777082574146237,0.289738362206205,0.436191786391642
0.8,0.3,3,0.980337202220728,0.641563307737503,0.140683205221716,0.280010568703536
0.8,0.3,4,1.65561462060667,0.95024004902578,0.166098611803245,0.24563237574407
0.8,0.3,5,1.30829152285125,0.861032789014631,0.08991069341116,0.201929028962431
0.8,0.6,1,2.15691793971261,1.21677997684006,0.274975063530008,0.378201785552309
0.8,0.6,2,3.57058326630851,1.52846418294383,0.281706191538528,0.412463039148235
0.8,0.6,3,0.783700705472742,0.680570564716643,0.108985770815285,0.19950963909411
0.8,0.6,4,1.00139490505891,0.783863008644307,0.145815939048112,0.286177494402137
0.8,0.6,5,1.07359035260387,0.787044684652143,0.134286694838676,0.27462707670579
,,,,,,
,,,,,,
,,,,,,
,time,42’16’’,,,,
,,2536,422.666666666667,,,
