beta,dropout,epochs,pos_mse,pos_mae,rot_mse,rot_mae
0.2,0.3,2,1.39946600465391,0.948133591481268,0.272036614657221,0.394787232022396
0.2,0.3,4,0.994002364732925,0.816832148089789,0.162734764144528,0.313574278588224
0.2,0.3,6,0.62835075024729,0.536843394069672,0.163844297306025,0.296579987489963
0.2,0.3,8,0.395777168496795,0.419084872741868,0.166544472904871,0.309331986741063
0.2,0.6,2,2.13483388114029,1.0996772948314,0.260432391118414,0.392958328770397
0.2,0.6,4,0.561028656872433,0.557926823420061,0.138510273426821,0.246582269346482
0.2,0.6,6,0.657508508469114,0.67930778954295,0.126113925477514,0.205643594298729
0.2,0.6,8,0.495794868086455,0.475486264410948,0.11257445581508,0.195703160051592
0.5,0.3,2,0.866887340681072,0.684773193946265,0.531787851026493,0.569166301877059
0.5,0.3,4,0.91559504311215,0.75063365056941,0.094920850019597,0.215492175384019
0.5,0.3,6,0.708673819870503,0.656469484675247,0.112520503920952,0.213816156102715
0.5,0.3,8,0.444040253697262,0.490074263208609,0.066280421107888,0.174177705913075
0.5,0.6,2,3.82003577691321,1.60896279358855,0.268159626817611,0.335246118975532
0.5,0.6,4,3.51821880878754,1.65284852803205,0.169767078021707,0.297831446422825
0.5,0.6,6,0.469448889411539,0.497839463863204,0.183621785288835,0.261736272878756
0.5,0.6,8,0.358662224817826,0.406242471979867,0.074678709089617,0.159521295260786
0.8,0.3,2,2.31879400233826,1.20577489791701,0.293307088839235,0.438870931105956
0.8,0.3,4,0.705721425170897,0.599398660743004,0.126300811474059,0.260203658658311
0.8,0.3,6,0.639611147401083,0.600747957969767,0.071135144572541,0.203567209241983
0.8,0.3,8,1.26811693040357,0.86179036577613,0.094359366460936,0.24003801089449
0.8,0.6,2,1.27369128415673,0.818957933227911,0.248738773763688,0.349429463295255
0.8,0.6,4,0.541728575414756,0.569312118484868,0.074274889752274,0.166237601339177
0.8,0.6,6,0.441283993071188,0.484497311646959,0.090016668944198,0.237865427568563
0.8,0.6,8,0.298803495593238,0.378636916105895,0.044015216263101,0.139930797784013
,,,,,,
,,,0.298803495593238,0.378636916105895,0.044015216263101,0.139930797784013
,,,,,,
,time,13’9’’,,,,
,,789,131.5,,,
