beta,dropout,epochs,pos_mse,pos_mae,rot_mse,rot_mae
0.2,0.3,2,2.85733172207287,1.31019070666474,0.464645975239016,0.550335341914334
0.2,0.3,4,0.403145674708151,0.438461331522106,0.118187124658309,0.214307171611344
0.2,0.3,6,0.55626548622477,0.595740752555712,0.213382100497739,0.384887869179762
0.2,0.3,8,0.498312289231728,0.524084000180337,0.08558609284484,0.184584615584972
0.2,0.6,2,1.29167455754408,0.880045801833836,0.569499547472404,0.552326478536078
0.2,0.6,4,1.87397569036381,1.05046859850757,0.216155308140621,0.294027010409346
0.2,0.6,6,0.463240184165269,0.519334301684894,0.157606583591576,0.254282527433123
0.2,0.6,8,0.406040438542131,0.423565919293935,0.150887246080761,0.251965369127751
0.5,0.3,2,0.984389312419859,0.785379110416649,0.142197654242602,0.281782523581355
0.5,0.3,4,1.4786804365977,1.01150939546028,0.143864634314902,0.271528863994477
0.5,0.3,6,0.765690285575633,0.734636538877065,0.117468721061967,0.255417147743994
0.5,0.3,8,0.3046389109331,0.416936262283662,0.063233875111841,0.184890178837664
0.5,0.6,2,1.28858956070022,0.816804363441636,0.481043875956528,0.533928888912326
0.5,0.6,4,0.671073277732131,0.62851940543487,0.088974616150063,0.203424752518872
0.5,0.6,6,0.52982251118999,0.574532024263703,0.12253987495024,0.268668637215806
0.5,0.6,8,0.951564253523177,0.774535087686387,0.068328530756258,0.146392647362038
0.8,0.3,2,1.97537733279653,1.12092378654818,0.177998243332383,0.285154806602548
0.8,0.3,4,0.803607451072205,0.577843888290203,0.092633419148433,0.208263579803595
0.8,0.3,6,0.514388740803,0.522907097527496,0.066576370507707,0.15516919154051
0.8,0.3,8,1.24369790498468,0.847412576750865,0.086968020664313,0.153223516297011
0.8,0.6,2,1.51056573419954,0.967801937115762,0.245551329412243,0.339228205027737
0.8,0.6,4,0.987599401792632,0.832529033057289,0.07549821356191,0.191853375904342
0.8,0.6,6,0.694025884321695,0.585832395725926,0.093239295052115,0.178160500928272
0.8,0.6,8,0.483675688514201,0.469358635570391,0.051974705115866,0.160294634527348
,,,,,,
,,,,,,
,,,,,,
,time,24’26’’,,,,
,,1466,244.333333333333,,,
